t_s,j22,j23,j24,j25,j26,j27,j28,j12
2.080063,0.080174,-0.092578,-0.131527,1.291288,-0.458193,0.000000,0.000000,-0.041568
2.100062,0.080150,-0.092590,-0.131563,1.291264,-0.458205,0.000000,0.000000,-0.041555
2.120067,0.080150,-0.092554,-0.131527,1.291264,-0.458193,0.000000,0.000000,-0.041595
2.140067,0.080150,-0.092578,-0.131551,1.291288,-0.458193,0.000000,0.000000,-0.041568
2.160069,0.080174,-0.092578,-0.131527,1.291288,-0.458193,0.000000,0.000000,-0.041568
2.180069,0.080150,-0.092566,-0.131563,1.291288,-0.458205,0.000000,0.000000,-0.041568
2.200213,0.080150,-0.092566,-0.131575,1.291288,-0.458181,0.000000,0.000000,-0.041568
2.220350,0.080150,-0.092578,-0.131563,1.291276,-0.458205,0.000000,0.000000,-0.041568
2.240155,0.080186,-0.092578,-0.131575,1.291276,-0.458193,0.000000,0.000000,-0.041555
2.260270,0.080174,-0.092554,-0.131587,1.291288,-0.458181,0.000000,0.000000,-0.041595
2.280107,0.080150,-0.092578,-0.131575,1.291300,-0.458193,0.000000,0.000000,-0.041555
2.300061,0.080150,-0.092566,-0.131575,1.291288,-0.458193,0.000000,0.000000,-0.041568
2.320066,0.080174,-0.092578,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041568
2.340071,0.080186,-0.092554,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041568
2.360064,0.080186,-0.092578,-0.131575,1.291276,-0.458193,0.000000,0.000000,-0.041568
2.380065,0.080162,-0.092554,-0.131575,1.291288,-0.458205,0.000000,0.000000,-0.041568
2.400059,0.080174,-0.092530,-0.131575,1.291288,-0.458217,0.000000,0.000000,-0.041568
2.420063,0.080174,-0.092590,-0.131587,1.291264,-0.458181,0.000000,0.000000,-0.041568
2.440063,0.080186,-0.092578,-0.131575,1.291276,-0.458193,0.000000,0.000000,-0.041568
2.460064,0.080174,-0.092554,-0.131527,1.291288,-0.458193,0.000000,0.000000,-0.041568
2.480063,0.080162,-0.092554,-0.131539,1.291276,-0.458193,0.000000,0.000000,-0.041568
2.500061,0.080162,-0.092554,-0.131539,1.291288,-0.458205,0.000000,0.000000,-0.041568
2.520060,0.080174,-0.092578,-0.131551,1.291276,-0.458181,0.000000,0.000000,-0.041568
